ID,운동명(한글),운동명(영문),대분류,소분류,주동근,보조근,기구,운동유형,난이도
477,라이프 피트니스 레그 컬,Life Fitness Leg Curl,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
478,라이프 피트니스 랫 풀다운,Life Fitness Lat Pulldown,등,광배근,광배근,이두근,머신,Compound,Beginner
479,테크노짐 레그 프레스,Technogym Leg Press,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Beginner
480,테크노짐 숄더 프레스,Technogym Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,머신,Compound,Beginner
481,매트릭스 레그 익스텐션,Matrix Leg Extension,하체,대퇴사두,대퇴사두,-,머신,Isolation,Beginner
482,매트릭스 체스트 프레스,Matrix Chest Press,가슴,중부가슴,대흉근,삼두근,머신,Compound,Beginner
483,사이벡스 아크 트레이너,Cybex Arc Trainer,유산소,유산소,대퇴사두·둔근,햄스트링,머신,Compound,Beginner
484,너스 머신 레그 익스텐션,Nautilus Leg Extension,하체,대퇴사두,대퇴사두,-,머신,Isolation,Beginner
485,프리코 머신 로우,Precor Machine Row,등,광배근,광배근·능형근,이두근,머신,Compound,Beginner
486,랜드마인 180,Landmine 180,코어,복사근,복사근,어깨,랜드마인,Compound,Intermediate
487,랜드마인 데드리프트,Landmine Deadlift,하체,둔근,둔근·햄스트링,척추기립근,랜드마인,Compound,Beginner
488,랜드마인 시소 프레스,Landmine Seesaw Press,어깨,전면삼각근,전면삼각근,코어·삼두근,랜드마인,Compound,Intermediate
489,랜드마인 런지,Landmine Lunge,하체,대퇴사두,대퇴사두·둔근,코어,랜드마인,Compound,Beginner
490,좀비 스쿼트,Zombie Squat,하체,대퇴사두,대퇴사두,코어,바벨,Compound,Intermediate
491,스파니쉬 스쿼트,Spanish Squat,하체,대퇴사두,대퇴사두,-,밴드,Isolation,Beginner
492,짐볼 파이크,Stability Ball Pike,코어,복직근,복직근,어깨,짐볼,Compound,Advanced
493,짐볼 롤아웃,Stability Ball Rollout,코어,복직근,복직근·복횡근,광배근,짐볼,Compound,Intermediate
494,슬라이더 마운틴 클라이머,Slider Mountain Climber,코어,복직근,복직근,어깨,기타,Compound,Intermediate
495,슬라이더 햄스트링 컬,Slider Hamstring Curl,하체,햄스트링,햄스트링,둔근,기타,Isolation,Intermediate
496,슬라이더 리버스 런지,Slider Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,코어,기타,Compound,Beginner
497,보수 푸시업,BOSU Push-Up,가슴,중부가슴,대흉근,삼두근·코어,BOSU,Compound,Intermediate
498,보수 플랭크,BOSU Plank,코어,복직근,복직근·복횡근,어깨,BOSU,Isolation,Beginner
499,메디신볼 우드찹,Medicine Ball Woodchop,코어,복사근,복사근,복직근,메디신볼,Compound,Beginner
500,메디신볼 V업,Medicine Ball V-Up,코어,복직근,복직근,고관절굴근,메디신볼,Isolation,Intermediate
501,보드 프레스,Board Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
502,핀 프레스,Pin Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
503,스포토 프레스,Spoto Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
504,라센 프레스,Larsen Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
505,슬링샷 벤치프레스,Slingshot Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Intermediate
506,핀 스쿼트,Pin Squat,하체,대퇴사두,대퇴사두·둔근,코어,바벨,Compound,Advanced
507,안전바 굿모닝,Safety Bar Good Morning,등,척추기립근,척추기립근·햄스트링,둔근,바벨,Compound,Advanced
508,체인 벤치프레스,Chain Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
509,밴드 벤치프레스,Banded Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
510,클로즈 그립 플로어 프레스,Close-Grip Floor Press,팔,삼두근,삼두근,대흉근,바벨,Compound,Intermediate
511,플란체,Planche,전신,맨몸기술,어깨·코어,대흉근·전완근,맨몸,Compound,Advanced
512,플란체 리닝,Planche Lean,전신,맨몸기술,어깨,코어·전완근,맨몸,Compound,Advanced
513,프론트 레버,Front Lever,전신,맨몸기술,광배근·코어,후면삼각근,맨몸,Compound,Advanced
514,백 레버,Back Lever,전신,맨몸기술,광배근·대흉근,이두근,맨몸,Compound,Advanced
515,휴먼 플래그,Human Flag,전신,맨몸기술,광배근·코어,어깨,맨몸,Compound,Advanced
516,핸드스탠드 홀드,Handstand Hold,어깨,맨몸기술,삼각근,코어·전완근,맨몸,Isolation,Advanced
517,파이크 푸시업,Pike Push-Up,어깨,전면삼각근,전면삼각근,삼두근,맨몸,Compound,Intermediate
518,코리안 딥스,Korean Dip,팔,삼두근,삼두근,대흉근,맨몸,Compound,Advanced
519,아처 풀업,Archer Pull-Up,등,광배근,광배근,이두근,맨몸,Compound,Advanced
520,커맨도 풀업,Commando Pull-Up,등,광배근,광배근·이두근,능형근,맨몸,Compound,Advanced
521,익스플로시브 풀업,Explosive Pull-Up,등,광배근,광배근,이두근,맨몸,Compound,Advanced
522,네거티브 풀업,Negative Pull-Up,등,광배근,광배근,이두근,맨몸,Compound,Beginner
523,워리어 1 포즈,Warrior I Pose,하체,요가,대퇴사두·둔근,코어,맨몸,Isolation,Beginner
524,워리어 2 포즈,Warrior II Pose,하체,요가,대퇴사두·둔근,어깨,맨몸,Isolation,Beginner
525,워리어 3 포즈,Warrior III Pose,하체,요가,둔근·햄스트링,코어,맨몸,Isolation,Intermediate
526,트리 포즈,Tree Pose,하체,요가,둔근,발목안정근,맨몸,Isolation,Beginner
527,체어 포즈,Chair Pose,하체,요가,대퇴사두,둔근,맨몸,Isolation,Beginner
528,보트 포즈,Boat Pose,코어,요가,복직근,고관절굴근,맨몸,Isolation,Intermediate
529,브릿지 포즈,Bridge Pose,하체,요가,둔근,햄스트링·척추기립근,맨몸,Isolation,Beginner
530,비둘기 포즈,Pigeon Pose,하체,스트레칭,둔근·이상근,고관절굴근,맨몸,Isolation,Beginner
531,업워드 독,Upward-Facing Dog,코어,요가,척추기립근,대흉근,맨몸,Isolation,Beginner
532,트라이앵글 포즈,Triangle Pose,코어,요가,복사근,햄스트링,맨몸,Isolation,Beginner
533,캐멀 포즈,Camel Pose,코어,스트레칭,복직근,고관절굴근,맨몸,Isolation,Intermediate
534,필라테스 헌드레드,Pilates Hundred,코어,필라테스,복직근,복횡근,맨몸,Isolation,Beginner
535,필라테스 롤업,Pilates Roll-Up,코어,필라테스,복직근,고관절굴근,맨몸,Isolation,Intermediate
536,스프린트,Sprint,유산소,컨디셔닝,대퇴사두·둔근,햄스트링·비복근,맨몸,Compound,Intermediate
537,힐 스프린트,Hill Sprint,유산소,컨디셔닝,둔근·대퇴사두,햄스트링·비복근,맨몸,Compound,Advanced
538,셔틀 런,Shuttle Run,유산소,컨디셔닝,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
539,하이 니,High Knees,유산소,컨디셔닝,고관절굴근,대퇴사두·코어,맨몸,Compound,Beginner
540,버트 킥,Butt Kicks,유산소,컨디셔닝,햄스트링,비복근,맨몸,Compound,Beginner
541,점핑 잭,Jumping Jack,유산소,컨디셔닝,삼각근·둔근,비복근,맨몸,Compound,Beginner
542,프라울러 스프린트,Prowler Sprint,전신,컨디셔닝,대퇴사두·둔근,비복근,슬레드,Compound,Advanced
543,슬레드 로우,Sled Row,등,컨디셔닝,광배근,능형근·이두근,슬레드,Compound,Intermediate
544,배틀로프 슬램,Battle Rope Slam,전신,컨디셔닝,어깨·코어,광배근,배틀로프,Compound,Intermediate
545,배틀로프 얼터네이팅 웨이브,Battle Rope Alternating Wave,전신,컨디셔닝,어깨,전완근·코어,배틀로프,Compound,Intermediate
546,케틀벨 점프 스쿼트,Kettlebell Jump Squat,하체,플라이오메트릭,대퇴사두·둔근,비복근,케틀벨,Compound,Intermediate
547,크랩 리치,Crab Reach,전신,모빌리티,둔근·어깨,코어,맨몸,Compound,Beginner
548,스콜피온 스트레치,Scorpion Stretch,코어,스트레칭,복사근,척추기립근,맨몸,Isolation,Beginner
549,월드 그레이티스트 스트레치,World's Greatest Stretch,전신,모빌리티,고관절굴근·흉추,햄스트링,맨몸,Isolation,Beginner
550,인치웜,Inchworm,전신,모빌리티,햄스트링·코어,어깨,맨몸,Compound,Beginner
551,힙 서클,Hip Circle,하체,모빌리티,고관절,둔근,맨몸,Isolation,Beginner
552,레그 스윙,Leg Swing,하체,모빌리티,고관절굴근,햄스트링,맨몸,Isolation,Beginner
553,암 서클,Arm Circle,어깨,모빌리티,삼각근,회전근개,맨몸,Isolation,Beginner
554,토라식 로테이션,Thoracic Rotation,등,모빌리티,흉추기립근,복사근,맨몸,Isolation,Beginner
555,수파인 스파인 트위스트,Supine Spinal Twist,코어,스트레칭,복사근,둔근,맨몸,Isolation,Beginner
556,디프 스쿼트 홀드,Deep Squat Hold,하체,모빌리티,고관절·발목,대퇴사두,맨몸,Isolation,Beginner
557,카우치 스트레치,Couch Stretch,하체,스트레칭,고관절굴근,대퇴사두,맨몸,Isolation,Beginner
558,버터플라이 스트레치,Butterfly Stretch,하체,스트레칭,내전근,고관절,맨몸,Isolation,Beginner
559,포즈 벤치프레스,Pause Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Intermediate
560,템포 벤치프레스,Tempo Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Intermediate
561,핀 데드리프트,Pin Deadlift,등,척추기립근,척추기립근·둔근,승모근,바벨,Compound,Advanced
562,포즈 데드리프트,Pause Deadlift,등,척추기립근,둔근·햄스트링,승모근,바벨,Compound,Advanced
563,템포 데드리프트,Tempo Deadlift,등,척추기립근,둔근·햄스트링,승모근,바벨,Compound,Advanced
564,데드스탑 벤치프레스,Dead-Stop Bench Press,가슴,중부가슴,대흉근,삼두근,바벨,Compound,Advanced
565,디클라인 스컬크러셔,Decline Skull Crusher,팔,삼두근,삼두근,-,바벨,Isolation,Intermediate
566,시티드 오버헤드 바벨 익스텐션,Seated Overhead Barbell Extension,팔,삼두근,삼두근 장두,-,바벨,Isolation,Intermediate
567,케이블 스파이더 컬,Cable Spider Curl,팔,이두근,이두근 단두,전완근,케이블,Isolation,Intermediate
568,인클라인 해머 컬,Incline Hammer Curl,팔,이두근,이두근·상완근,전완근,덤벨,Isolation,Intermediate
569,체스트 서포티드 T바 로우,Chest-Supported T-Bar Row,등,능형근,능형근·광배근,후면삼각근,머신,Compound,Intermediate
570,데드스탑 로우,Dead-Stop Row,등,광배근,광배근·능형근,후면삼각근,바벨,Compound,Intermediate
571,피트 엘리베이티드 인버티드 로우,Feet-Elevated Inverted Row,등,광배근,광배근·능형근,이두근,맨몸,Compound,Intermediate
572,와이드 그립 인버티드 로우,Wide-Grip Inverted Row,등,능형근,능형근·후면삼각근,광배근,맨몸,Compound,Intermediate
573,클로즈 그립 인클라인 프레스,Close-Grip Incline Press,가슴,상부가슴,대흉근 상부,삼두근,바벨,Compound,Intermediate
574,리버스 그립 벤치프레스,Reverse-Grip Bench Press,가슴,상부가슴,대흉근 상부,삼두근,바벨,Compound,Advanced
575,덤벨 플로어 프레스,Dumbbell Floor Press,가슴,중부가슴,대흉근,삼두근,덤벨,Compound,Beginner
576,프론트 풋 엘리베이티드 스플릿 스쿼트,Front-Foot-Elevated Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Intermediate
577,데피싯 리버스 런지,Deficit Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Intermediate
578,오버헤드 런지,Overhead Lunge,하체,대퇴사두,대퇴사두·둔근,어깨·코어,바벨,Compound,Advanced
579,사이드 스텝업,Lateral Step-Up,하체,대퇴사두,대퇴사두·중둔근,햄스트링,덤벨,Compound,Beginner
580,크로스오버 스텝업,Crossover Step-Up,하체,둔근,중둔근·대둔근,대퇴사두,덤벨,Compound,Intermediate
581,스케이터 스쿼트,Skater Squat,하체,대퇴사두,대퇴사두·둔근,코어,맨몸,Compound,Advanced
582,고블릿 스텝업,Goblet Step-Up,하체,대퇴사두,대퇴사두·둔근,코어,덤벨,Compound,Beginner
583,B 스탠스 루마니안 데드리프트,B-Stance Romanian Deadlift,하체,햄스트링,햄스트링·둔근,척추기립근,덤벨,Compound,Intermediate
584,B 스탠스 힙 쓰러스트,B-Stance Hip Thrust,하체,둔근,대둔근,햄스트링,바벨,Compound,Intermediate
585,케틀벨 싱글 레그 데드리프트,Kettlebell Single-Leg Deadlift,하체,햄스트링,햄스트링·둔근,코어,케틀벨,Compound,Intermediate
586,힐 엘리베이티드 스쿼트,Heel-Elevated Squat,하체,대퇴사두,대퇴사두,둔근,바벨,Compound,Beginner
587,힐 엘리베이티드 고블릿 스쿼트,Heel-Elevated Goblet Squat,하체,대퇴사두,대퇴사두,둔근,덤벨,Compound,Beginner
588,프리즈너 스쿼트,Prisoner Squat,하체,대퇴사두,대퇴사두·둔근,코어,맨몸,Compound,Beginner
589,덤벨 쓰러스터,Dumbbell Thruster,전신,대퇴사두,대퇴사두·삼각근,둔근·삼두근,덤벨,Compound,Intermediate
590,케틀벨 쓰러스터,Kettlebell Thruster,전신,대퇴사두,대퇴사두·삼각근,둔근·삼두근,케틀벨,Compound,Intermediate
591,디클라인 리버스 크런치,Decline Reverse Crunch,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Intermediate
592,행잉 니 레이즈 트위스트,Hanging Knee Raise Twist,코어,복사근,복사근·복직근,고관절굴근,맨몸,Isolation,Intermediate
593,캡틴스 체어 오블리크 레이즈,Captain's Chair Oblique Raise,코어,복사근,복사근,복직근,머신,Isolation,Intermediate
594,케이블 토르소 트위스트,Cable Torso Twist,코어,복사근,복사근,복직근,케이블,Isolation,Beginner
595,머신 오블리크 크런치,Machine Oblique Crunch,코어,복사근,복사근,복직근,머신,Isolation,Beginner
596,V 싯 홀드,V-Sit Hold,코어,복직근,복직근,고관절굴근,맨몸,Isolation,Intermediate
597,잭나이프 싯업,Jackknife Sit-Up,코어,복직근,복직근,고관절굴근,맨몸,Isolation,Intermediate
598,사이드 메디신볼 슬램,Side Medicine Ball Slam,코어,복사근,복사근,광배근,메디신볼,Compound,Intermediate
599,디클라인 트위스팅 싯업,Decline Twisting Sit-Up,코어,복사근,복사근·복직근,고관절굴근,맨몸,Isolation,Intermediate
600,스탠딩 앱 휠 롤아웃,Standing Ab Wheel Rollout,코어,복직근,복직근·복횡근,광배근,기타,Compound,Advanced
601,싱글 암 머신 체스트 프레스,Single-Arm Machine Chest Press,가슴,중부가슴,대흉근,삼두근·코어,머신,Compound,Intermediate
602,디클라인 케이블 플라이,Decline Cable Fly,가슴,하부가슴,대흉근 하부,전면삼각근,케이블,Isolation,Intermediate
603,라잉 케이블 플라이,Lying Cable Fly,가슴,중부가슴,대흉근,전면삼각근,케이블,Isolation,Intermediate
604,위티드 딥스,Weighted Dip,가슴,하부가슴,대흉근 하부,삼두근,맨몸,Compound,Advanced
605,링 딥스,Ring Dip,가슴,하부가슴,대흉근,삼두근·코어,맨몸,Compound,Advanced
606,링 푸시업,Ring Push-Up,가슴,중부가슴,대흉근,삼두근·코어,맨몸,Compound,Intermediate
607,스태거드 푸시업,Staggered Push-Up,가슴,중부가슴,대흉근,삼두근,맨몸,Compound,Beginner
608,인클라인 스쿼즈 프레스,Incline Squeeze Press,가슴,상부가슴,대흉근 상부,삼두근,덤벨,Compound,Intermediate
609,와이드 그립 인클라인 벤치프레스,Wide-Grip Incline Bench Press,가슴,상부가슴,대흉근 상부,전면삼각근,바벨,Compound,Intermediate
610,리버스 그립 인클라인 프레스,Reverse-Grip Incline Press,가슴,상부가슴,대흉근 상부,삼두근,바벨,Compound,Advanced
611,머신 디클라인 체스트 프레스,Machine Decline Chest Press,가슴,하부가슴,대흉근 하부,삼두근,머신,Compound,Beginner
612,스미스 머신 와이드 그립 벤치프레스,Smith Machine Wide-Grip Bench Press,가슴,중부가슴,대흉근,전면삼각근,스미스,Compound,Beginner
613,클로즈 그립 바벨 로우,Close-Grip Barbell Row,등,광배근,광배근 하부,이두근,바벨,Compound,Intermediate
614,와이드 그립 머신 로우,Wide-Grip Machine Row,등,광배근,광배근·후면삼각근,능형근,머신,Compound,Beginner
615,뉴트럴 그립 케이블 로우,Neutral-Grip Cable Row,등,광배근,광배근,이두근,케이블,Compound,Beginner
616,V바 랫 풀다운,V-Bar Lat Pulldown,등,광배근,광배근,이두근,케이블,Compound,Beginner
617,닐링 케이블 페이스 풀,Kneeling Cable Face Pull,어깨,후면삼각근,후면삼각근,능형근,케이블,Isolation,Intermediate
618,언더핸드 인버티드 로우,Underhand Inverted Row,등,광배근,광배근·이두근,능형근,맨몸,Compound,Beginner
619,덤벨 데드스탑 로우,Dumbbell Dead-Stop Row,등,광배근,광배근,능형근,덤벨,Compound,Intermediate
620,헬름스 로우,Helms Row,등,능형근,능형근·광배근,후면삼각근,덤벨,Compound,Intermediate
621,언더핸드 펜들레이 로우,Underhand Pendlay Row,등,광배근,광배근·이두근,능형근,바벨,Compound,Advanced
622,트랩바 로우,Trap Bar Row,등,광배근,광배근·능형근,승모근,바벨,Compound,Intermediate
623,시티드 하이 로우 머신,Seated High Row Machine,등,광배근,광배근 상부,후면삼각근,머신,Compound,Beginner
624,싱글 암 스트레이트암 풀다운,Single-Arm Straight-Arm Pulldown,등,광배근,광배근,대원근,케이블,Isolation,Intermediate
625,인클라인 덤벨 풀오버,Incline Dumbbell Pullover,등,광배근,광배근,대흉근,덤벨,Isolation,Intermediate
626,와이드 그립 펜들레이 로우,Wide-Grip Pendlay Row,등,광배근,광배근·후면삼각근,능형근,바벨,Compound,Advanced
627,시티드 케이블 레터럴 레이즈,Seated Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
628,인클라인 케이블 레터럴 레이즈,Incline Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
629,머신 프론트 레이즈,Machine Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,머신,Isolation,Beginner
630,비하인드 백 케이블 레터럴 레이즈,Behind-the-Back Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
631,오버헤드 핀 프레스,Overhead Pin Press,어깨,전면삼각근,전면삼각근,삼두근,바벨,Compound,Advanced
632,비하인드 넥 스미스 프레스,Behind-the-Neck Smith Press,어깨,측면삼각근,측면·후면삼각근,삼두근,스미스,Compound,Advanced
633,시티드 스미스 머신 숄더 프레스,Seated Smith Machine Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,스미스,Compound,Beginner
634,싱글 암 랜드마인 프레스,Single-Arm Landmine Press,어깨,전면삼각근,전면삼각근,삼두근·코어,랜드마인,Compound,Intermediate
635,하프 닐링 랜드마인 프레스,Half-Kneeling Landmine Press,어깨,전면삼각근,전면삼각근,코어,랜드마인,Compound,Intermediate
636,덤벨 6-웨이 레이즈,Dumbbell 6-Way Raise,어깨,측면삼각근,전면·측면·후면삼각근,승모근,덤벨,Isolation,Intermediate
637,바벨 하이 풀,Barbell High Pull,어깨,측면삼각근,측면삼각근·승모근,둔근,바벨,Compound,Intermediate
638,덤벨 하이 풀,Dumbbell High Pull,어깨,측면삼각근,측면삼각근·승모근,둔근,덤벨,Compound,Intermediate
639,스내치 그립 하이 풀,Snatch-Grip High Pull,어깨,측면삼각근,승모근·삼각근,둔근,바벨,Compound,Advanced
640,시티드 덤벨 레터럴 레이즈,Seated Dumbbell Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,덤벨,Isolation,Beginner
641,덤벨 프리처 컬,Dumbbell Preacher Curl,팔,이두근,이두근 단두,전완근,덤벨,Isolation,Beginner
642,싱글 암 프리처 컬,Single-Arm Preacher Curl,팔,이두근,이두근 단두,전완근,덤벨,Isolation,Beginner
643,EZ바 프리처 컬,EZ-Bar Preacher Curl,팔,이두근,이두근 단두,전완근,바벨,Isolation,Beginner
644,케이블 로프 컬,Cable Rope Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
645,케이블 드래그 컬,Cable Drag Curl,팔,이두근,이두근 장두,전완근,케이블,Isolation,Intermediate
646,와이드 그립 프리처 컬,Wide-Grip Preacher Curl,팔,이두근,이두근 단두,전완근,바벨,Isolation,Intermediate
647,리버스 프리처 컬,Reverse Preacher Curl,팔,전완근,상완요골근,이두근,바벨,Isolation,Intermediate
648,머신 해머 컬,Machine Hammer Curl,팔,이두근,이두근·상완근,전완근,머신,Isolation,Beginner
649,와이드 그립 케이블 컬,Wide-Grip Cable Curl,팔,이두근,이두근 단두,전완근,케이블,Isolation,Beginner
650,클로즈 그립 EZ바 컬,Close-Grip EZ-Bar Curl,팔,이두근,이두근 장두,전완근,바벨,Isolation,Beginner
651,오버헤드 케이블 컬,Overhead Cable Curl,팔,이두근,이두근 장두,전완근,케이블,Isolation,Intermediate
652,디클라인 케이블 트라이셉스 익스텐션,Decline Cable Triceps Extension,팔,삼두근,삼두근,-,케이블,Isolation,Intermediate
653,싱글 암 오버헤드 덤벨 익스텐션,Single-Arm Overhead Dumbbell Extension,팔,삼두근,삼두근 장두,-,덤벨,Isolation,Beginner
654,리버스 그립 트라이셉스 익스텐션,Reverse-Grip Triceps Extension,팔,삼두근,삼두근 내측두,-,케이블,Isolation,Intermediate
655,인클라인 케이블 트라이셉스 익스텐션,Incline Cable Triceps Extension,팔,삼두근,삼두근 장두,-,케이블,Isolation,Intermediate
656,위티드 벤치 딥스,Weighted Bench Dip,팔,삼두근,삼두근,전면삼각근,맨몸,Compound,Intermediate
657,머신 딥,Machine Dip,팔,삼두근,삼두근,대흉근,머신,Compound,Beginner
658,싱글 암 케이블 오버헤드 익스텐션,Single-Arm Cable Overhead Extension,팔,삼두근,삼두근 장두,-,케이블,Isolation,Intermediate
659,바벨 스파이더 컬,Barbell Spider Curl,팔,이두근,이두근 단두,전완근,바벨,Isolation,Intermediate
660,케틀벨 비셉스 컬,Kettlebell Biceps Curl,팔,이두근,이두근,전완근,케틀벨,Isolation,Beginner
661,포즈 프론트 스쿼트,Pause Front Squat,하체,대퇴사두,대퇴사두,코어·둔근,바벨,Compound,Advanced
662,템포 프론트 스쿼트,Tempo Front Squat,하체,대퇴사두,대퇴사두,코어,바벨,Compound,Advanced
663,와이드 스탠스 스쿼트,Wide-Stance Squat,하체,둔근,둔근·내전근,대퇴사두,바벨,Compound,Intermediate
664,클로즈 스탠스 스쿼트,Close-Stance Squat,하체,대퇴사두,대퇴사두,둔근,바벨,Compound,Intermediate
665,점핑 스플릿 스쿼트,Jumping Split Squat,하체,대퇴사두,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
666,스미스 머신 리버스 런지,Smith Machine Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,스미스,Compound,Beginner
667,바벨 워킹 런지,Barbell Walking Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Advanced
668,밴드 어시스티드 노르딕 컬,Band-Assisted Nordic Curl,하체,햄스트링,햄스트링,둔근,밴드,Isolation,Intermediate
669,케이블 레그 컬,Cable Leg Curl,하체,햄스트링,햄스트링,비복근,케이블,Isolation,Beginner
670,스탠딩 케이블 힙 어덕션,Standing Cable Hip Adduction,하체,내전근,내전근,-,케이블,Isolation,Beginner
671,코사크 스쿼트,Cossack Squat,하체,내전근,내전근·둔근,대퇴사두,맨몸,Compound,Intermediate
672,어시스티드 시시 스쿼트,Assisted Sissy Squat,하체,대퇴사두,대퇴사두,-,맨몸,Isolation,Beginner
673,덤벨 스쿼트,Dumbbell Squat,하체,대퇴사두,대퇴사두·둔근,코어,덤벨,Compound,Beginner
674,바벨 스플릿 스쿼트,Barbell Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Intermediate
675,싱글 레그 레그프레스 카프 레이즈,Single-Leg Leg-Press Calf Raise,하체,비복근,비복근,가자미근,머신,Isolation,Intermediate
676,덤벨 스탠딩 카프 레이즈,Dumbbell Standing Calf Raise,하체,비복근,비복근,가자미근,덤벨,Isolation,Beginner
677,덤벨 점프 스쿼트,Dumbbell Jump Squat,하체,대퇴사두,대퇴사두·둔근,비복근,덤벨,Compound,Intermediate
678,위티드 박스 스텝업,Weighted Box Step-Up,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Intermediate
679,리버스 노르딕 컬,Reverse Nordic Curl,하체,대퇴사두,대퇴사두,고관절굴근,맨몸,Isolation,Advanced
680,싱글 레그 월 싯,Single-Leg Wall Sit,하체,대퇴사두,대퇴사두,둔근,맨몸,Isolation,Intermediate
681,글루트 킥백 머신,Glute Kickback Machine,하체,둔근,대둔근,햄스트링,머신,Isolation,Beginner
682,시티드 굿모닝,Seated Good Morning,등,척추기립근,척추기립근,둔근,바벨,Compound,Advanced
683,바벨 글루트 브릿지,Barbell Glute Bridge,하체,둔근,대둔근,햄스트링,바벨,Compound,Beginner
684,포즈 힙 쓰러스트,Pause Hip Thrust,하체,둔근,대둔근,햄스트링,바벨,Compound,Intermediate
685,케틀벨 고블릿 런지,Kettlebell Goblet Lunge,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Beginner
686,위티드 플랭크,Weighted Plank,코어,복직근,복직근·복횡근,어깨,원판,Isolation,Intermediate
687,위티드 싯업,Weighted Sit-Up,코어,복직근,복직근,고관절굴근,원판,Isolation,Intermediate
688,위티드 크런치,Weighted Crunch,코어,복직근,복직근 상부,복사근,원판,Isolation,Beginner
689,디클라인 러시안 트위스트,Decline Russian Twist,코어,복사근,복사근,복직근,맨몸,Isolation,Intermediate
690,닐링 케이블 오블리크 크런치,Kneeling Cable Oblique Crunch,코어,복사근,복사근,복직근,케이블,Isolation,Intermediate
691,위티드 행잉 레그 레이즈,Weighted Hanging Leg Raise,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Advanced
692,슬라이더 바디 쏘,Slider Body Saw,코어,복직근,복직근·복횡근,어깨,기타,Isolation,Intermediate
693,바디 쏘,Body Saw,코어,복직근,복직근·복횡근,어깨,맨몸,Isolation,Intermediate
694,하프 닐링 팔로프 프레스,Half-Kneeling Pallof Press,코어,복사근,복사근·복횡근,둔근,케이블,Isolation,Intermediate
695,호리즌탈 케이블 찹,Horizontal Cable Chop,코어,복사근,복사근,복직근,케이블,Compound,Intermediate
696,메디신볼 싯업,Medicine Ball Sit-Up,코어,복직근,복직근,고관절굴근,메디신볼,Isolation,Beginner
697,위티드 데드버그,Weighted Dead Bug,코어,복횡근,복횡근·복직근,고관절굴근,덤벨,Isolation,Intermediate
698,라잉 윈드쉴드 와이퍼,Lying Windshield Wiper,코어,복사근,복사근·복직근,고관절굴근,맨몸,Isolation,Intermediate
699,스터 더 팟,Stir the Pot,코어,복직근,복직근·복횡근,어깨,짐볼,Isolation,Advanced
700,메디신볼 토 터치,Medicine Ball Toe Touch,코어,복직근,복직근 상부,-,메디신볼,Isolation,Beginner
701,싱글 암 케이블 플라이,Single-Arm Cable Fly,가슴,중부가슴,대흉근,전면삼각근,케이블,Isolation,Intermediate
702,싱글 암 로우 케이블 플라이,Single-Arm Low Cable Fly,가슴,상부가슴,대흉근 상부,전면삼각근,케이블,Isolation,Intermediate
703,싱글 암 하이 케이블 플라이,Single-Arm High Cable Fly,가슴,하부가슴,대흉근 하부,전면삼각근,케이블,Isolation,Intermediate
704,싱글 암 케이블 리어 델트 플라이,Single-Arm Cable Rear Delt Fly,어깨,후면삼각근,후면삼각근,능형근,케이블,Isolation,Intermediate
705,싱글 암 케이블 업라이트 로우,Single-Arm Cable Upright Row,어깨,측면삼각근,측면삼각근,승모근,케이블,Compound,Beginner
